Designator,Mid X,Mid Y,Layer,Rotation
IC14,33.78,95.62,Top,270.0
IC15,38.94,81.93,Top,270.0
IC22,49.74,63.27,Top,270.0
IC23,40.78,44.84,Top,90.0
IC24,45.89,26.98,Top,90.0
IC25,15.96,14.51,Top,270.0
IC26,52.89,21.59,Top,0.0
IC27,52.72,31.12,Top,270.0
IC28,46.84,14.19,Top,180.0
IC29,52.80,37.07,Top,270.0
IC30,41.57,21.64,Top,0.0
IC31,52.86,43.38,Top,270.0
IOVDD,15.30,19.85,Top,270.0
JP-3V3-1,12.32,21.59,Top,180.0
JP-3V3-2,12.32,19.97,Top,180.0
JP-EXT-1,12.95, 5.65,Top,0.0
JP-EXT-2,12.95, 3.80,Top,0.0
L3,36.57,103.45,Top,90.0
L4,26.95,95.69,Top,90.0
LDAC,51.53,73.99,Top,270.0
MISO,14.68,40.50,Top,270.0
MOSI,12.78,40.52,Top,270.0
R1,50.08,25.79,Top,0.0
R2,11.96,15.43,Top,180.0
R3,51.88,17.63,Top,270.0
R4,48.84,32.16,Top,180.0
R5,48.87,44.31,Top,180.0
R6,40.59,17.58,Top,270.0
R7,48.85,37.71,Top,180.0
R8,47.80,18.44,Top,90.0
R9,13.02,56.96,Top,0.0
R10,15.68,51.97,Top,90.0
R11,21.01,81.45,Top,270.0
R12,42.38,103.19,Top,180.0
R13,50.83,90.65,Top,270.0
R14,31.15,99.72,Top,180.0
R15,33.49,47.68,Top,90.0
R16,19.48,49.75,Top,90.0
R17,37.66,62.52,Top,225.0
R18,28.27,76.66,Top,315.0
R19,40.07,93.18,Top,180.0
R20,19.12,41.49,Top,270.0
R21,17.99,41.47,Top,270.0
R22,36.16,41.50,Top,270.0
R23,35.05,41.51,Top,270.0
R24,37.55,30.03,Top,0.0
R25,19.64,16.46,Top,90.0
R26,20.77,16.46,Top,90.0
R27,21.89,16.45,Top,90.0
R28,23.05,16.45,Top,90.0
R29,24.17,16.44,Top,90.0
R30,25.30,16.46,Top,90.0
R31,26.42,16.46,Top,90.0
R32,27.55,16.45,Top,90.0
R33,28.70,16.45,Top,90.0
R34,29.82,16.44,Top,90.0
R35,30.95,16.46,Top,90.0
R36,32.07,16.46,Top,90.0
R37,33.20,16.45,Top,90.0
R38,34.34,16.45,Top,90.0
R39,49.34,90.66,Top,270.0
R40,35.47,16.44,Top,90.0
R41,36.59,16.46,Top,90.0
R42,34.48,30.05,Top,0.0
R43,20.37,30.16,Top,0.0
R44,17.27,30.16,Top,0.0
R45,23.82,44.03,Top,270.0
R46,24.96,44.02,Top,90.0
R47,28.37,44.08,Top,90.0
R48,29.50,44.08,Top,270.0
R49,40.67,51.33,Top,90.0
R50,39.86,48.75,Top,180.0
R51,32.49,56.37,Top,270.0
R52,34.24,56.36,Top,90.0
R53,39.73,89.30,Top,90.0
R54,33.55,87.98,Top,270.0
R55,43.58,73.47,Top,270.0
R56,34.63,73.45,Top,270.0
R57,44.90,89.22,Top,90.0
R58,36.40,88.05,Top,270.0
R59,32.19,91.84,Top,180.0
R60,42.71,78.15,Top,270.0
R61,47.75,98.04,Top,270.0
R62,51.35,98.62,Top,270.0
R63,53.21,90.63,Top,180.0
R64,53.19,89.42,Top,0.0
R67,33.08,78.00,Top,270.0
R68,42.51,106.79,Top,180.0
R69,31.80,77.98,Top,90.0
R70,45.43,77.68,Top,270.0
R71,46.67,77.69,Top,90.0
R72, 9.88,106.62,Top,0.0
R73,39.73,78.19,Top,270.0
R74,37.43,78.20,Top,270.0
R75,52.97,81.39,Top,90.0
R76,35.59,78.20,Top,90.0
R77, 9.89,105.32,Top,180.0
R86,48.08,67.84,Top,0.0
R87,50.07,27.00,Top,0.0
R88,50.03,28.25,Top,0.0
R89,53.76,26.92,Top,270.0
R90,50.10,24.61,Top,0.0
R91,11.98,14.18,Top,180.0
R92,12.00,12.93,Top,180.0
R93, 8.21,14.33,Top,90.0
R94,11.94,16.76,Top,180.0
R95,54.31,17.58,Top,270.0
R96,53.06,17.64,Top,270.0
R97,52.77,13.88,Top,180.0
R98,50.62,17.63,Top,270.0
R99,48.83,30.95,Top,180.0
R100,48.82,29.74,Top,180.0
R101,45.12,31.11,Top,90.0
R102,48.88,33.40,Top,180.0
R103,46.56,18.42,Top,90.0
R104,45.31,18.43,Top,90.0
R105,46.76,22.13,Top,0.0
R106,49.02,18.43,Top,90.0
R107,48.87,36.48,Top,180.0
R108,48.88,35.30,Top,180.0
R109,45.24,36.67,Top,90.0
R110,48.87,39.43,Top,180.0
R111,41.82,17.56,Top,270.0
R112,43.10,17.52,Top,270.0
R113,41.53,13.98,Top,180.0
R114,39.37,17.55,Top,270.0
R115,48.84,43.08,Top,180.0
R116,48.88,41.84,Top,180.0
R117,45.28,43.32,Top,90.0
R118,48.84,45.51,Top,180.0
REF1,38.50,67.60,Top,45.0
REFBY2,30.91,39.87,Top,180.0
REFOUT,27.40,40.95,Top,0.0
RESET,52.95,85.47,Top,90.0
SCK,10.90,40.55,Top,270.0
T2,29.02,102.52,Top,0.0
TP_3V3,11.10,94.11,Top,90.0
TP_GND,29.50,24.45,Top,0.0
USBC,49.44,107.65,Top,180.0
USB_BOOT,24.36,81.26,Top,0.0
VBUS,54.05,92.59,Top,270.0
VOCMA,30.29,53.17,Top,0.0
VREF1,40.11,65.02,Top,45.0
VREF_DAC,42.83,47.61,Top,270.0
X2,12.99,53.52,Top,270.0
